,target_shift3,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
inst_mv10,0.322,0.35,0.349,0.277,0.368,0.109,0.104,0.312,0.247,0.121,0.358,0.323,0.263,0.064,0.0,0.124,0.138,0.212,0.229,0.271,0.211,0.105,0.308,0.251,0.243,0.457,0.41,0.392,0.233,0.432,0.395,0.374,0.016,0.114
inst_mv20,0.365,0.378,0.372,0.333,0.381,0.055,0.052,0.334,0.284,0.086,0.291,0.358,0.185,0.048,0.124,0.0,0.118,0.276,0.275,0.294,0.271,0.22,0.349,0.332,0.219,0.393,0.435,0.324,0.199,0.365,0.407,0.298,0.009,0.048
inst_mv5,0.298,0.331,0.27,0.204,0.313,0.083,0.121,0.293,0.248,0.182,0.299,0.249,0.336,0.079,0.138,0.118,0.0,0.185,0.234,0.268,0.197,0.074,0.286,0.24,0.364,0.407,0.341,0.448,0.355,0.39,0.332,0.431,0.014,0.111
kospi,0.436,0.408,0.408,0.406,0.409,0.0,0.0,0.128,0.119,0.073,0.124,0.198,0.119,0.109,0.212,0.276,0.185,0.0,0.0,0.0,0.0,0.17,0.314,0.318,0.271,0.361,0.393,0.334,0.262,0.364,0.404,0.334,0.0,0.0
kospi_mv10,0.514,0.499,0.466,0.444,0.484,0.0,0.0,0.133,0.12,0.057,0.217,0.227,0.179,0.149,0.229,0.275,0.234,0.0,0.0,0.0,0.0,0.156,0.39,0.364,0.312,0.416,0.436,0.387,0.298,0.413,0.448,0.378,0.0,0.0
kospi_mv20,0.562,0.553,0.528,0.485,0.545,0.0,0.0,0.146,0.133,0.058,0.261,0.281,0.193,0.162,0.271,0.294,0.268,0.0,0.0,0.0,0.0,0.181,0.43,0.403,0.307,0.439,0.474,0.391,0.294,0.432,0.48,0.382,0.0,0.0
kospi_mv5,0.481,0.456,0.436,0.427,0.443,0.0,0.0,0.128,0.114,0.061,0.168,0.213,0.158,0.125,0.211,0.271,0.197,0.0,0.0,0.0,0.0,0.159,0.358,0.343,0.295,0.389,0.414,0.363,0.281,0.39,0.427,0.357,0.0,0.0
mfi,0.211,0.231,0.232,0.222,0.236,0.116,0.067,0.172,0.174,0.151,0.242,0.142,0.224,0.065,0.105,0.22,0.074,0.17,0.156,0.181,0.159,0.0,0.168,0.206,0.146,0.228,0.229,0.199,0.146,0.229,0.232,0.201,0.042,0.114
obv,0.479,0.477,0.487,0.488,0.48,0.046,0.06,0.185,0.168,0.074,0.245,0.337,0.199,0.156,0.308,0.349,0.286,0.314,0.39,0.43,0.358,0.168,0.0,0.115,0.303,0.371,0.399,0.335,0.313,0.385,0.411,0.35,0.019,0.086
obv_ema,0.531,0.538,0.527,0.502,0.535,0.028,0.031,0.136,0.114,0.084,0.336,0.399,0.255,0.144,0.251,0.332,0.24,0.318,0.364,0.403,0.343,0.206,0.115,0.0,0.352,0.473,0.51,0.433,0.349,0.477,0.525,0.434,0.009,0.058
trading_amount,0.221,0.244,0.238,0.228,0.24,0.098,0.062,0.14,0.167,0.278,0.344,0.278,0.399,0.335,0.243,0.219,0.364,0.271,0.312,0.307,0.295,0.146,0.303,0.352,0.0,0.079,0.093,0.05,0.009,0.077,0.086,0.052,0.066,0.11
trading_amount_mv10,0.301,0.31,0.338,0.344,0.325,0.07,0.085,0.22,0.199,0.136,0.497,0.457,0.338,0.224,0.457,0.393,0.407,0.361,0.416,0.439,0.389,0.228,0.371,0.473,0.079,0.0,0.05,0.037,0.072,0.017,0.056,0.041,0.012,0.14
trading_amount_mv20,0.314,0.319,0.352,0.376,0.335,0.021,0.022,0.238,0.216,0.066,0.338,0.495,0.189,0.184,0.41,0.435,0.341,0.393,0.436,0.474,0.414,0.229,0.399,0.51,0.093,0.05,0.0,0.079,0.083,0.055,0.023,0.074,0.008,0.044
trading_amount_mv5,0.28,0.294,0.31,0.305,0.308,0.102,0.089,0.199,0.191,0.178,0.486,0.377,0.408,0.254,0.392,0.324,0.448,0.334,0.387,0.391,0.363,0.199,0.335,0.433,0.05,0.037,0.079,0.0,0.046,0.041,0.076,0.013,0.01,0.15
volume,0.268,0.296,0.282,0.267,0.287,0.098,0.067,0.148,0.174,0.291,0.359,0.297,0.406,0.319,0.233,0.199,0.355,0.262,0.298,0.294,0.281,0.146,0.313,0.349,0.009,0.072,0.083,0.046,0.0,0.061,0.063,0.04,0.063,0.102
volume_mv10,0.372,0.392,0.419,0.416,0.409,0.076,0.082,0.231,0.212,0.148,0.529,0.489,0.363,0.215,0.432,0.365,0.39,0.364,0.413,0.432,0.39,0.229,0.385,0.477,0.077,0.017,0.055,0.041,0.061,0.0,0.033,0.025,0.012,0.137
volume_mv20,0.391,0.408,0.452,0.473,0.431,0.022,0.024,0.266,0.245,0.083,0.384,0.537,0.224,0.178,0.395,0.407,0.332,0.404,0.448,0.48,0.427,0.232,0.411,0.525,0.086,0.056,0.023,0.076,0.063,0.033,0.0,0.05,0.008,0.048
volume_mv5,0.342,0.365,0.376,0.362,0.378,0.107,0.089,0.209,0.2,0.193,0.51,0.405,0.436,0.239,0.374,0.298,0.431,0.334,0.378,0.382,0.357,0.201,0.35,0.434,0.052,0.041,0.074,0.013,0.04,0.025,0.05,0.0,0.01,0.14
weekday,0.027,0.023,0.009,0.008,0.009,0.0,0.0,0.018,0.038,0.059,0.013,0.01,0.028,0.067,0.016,0.009,0.014,0.0,0.0,0.0,0.0,0.042,0.019,0.009,0.066,0.012,0.008,0.01,0.063,0.012,0.008,0.01,0.0,0.0
weeknum,0.085,0.112,0.065,0.039,0.098,0.0,0.0,0.147,0.134,0.076,0.162,0.042,0.156,0.061,0.114,0.048,0.111,0.0,0.0,0.0,0.0,0.114,0.086,0.058,0.11,0.14,0.044,0.15,0.102,0.137,0.048,0.14,0.0,0.0
