,target_shift1,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
kospi,0.406,0.42,0.395,0.375,0.407,0.158,-0.035,0.059,0.069,-0.0,-0.005,-0.073,0.021,0.063,0.072,0.123,0.054,1.0,0.852,0.73,0.922,-0.108,0.462,0.466,0.001,0.006,-0.012,0.014,-0.045,-0.058,-0.079,-0.044,0.0,-0.043
kospi_mv10,0.356,0.366,0.435,0.461,0.401,0.135,0.091,-0.15,-0.156,-0.064,-0.076,-0.118,-0.075,0.095,0.049,0.093,0.075,0.852,1.0,0.937,0.958,-0.144,0.505,0.585,-0.063,-0.034,-0.008,-0.051,-0.113,-0.113,-0.098,-0.118,0.027,0.093
kospi_mv20,0.3,0.309,0.392,0.472,0.345,0.079,0.038,-0.27,-0.234,-0.077,-0.154,-0.19,-0.123,0.103,0.092,0.103,0.11,0.73,0.937,1.0,0.847,-0.151,0.513,0.649,-0.137,-0.129,-0.064,-0.148,-0.191,-0.213,-0.166,-0.22,0.025,0.101
kospi_mv5,0.384,0.396,0.429,0.426,0.424,0.188,0.037,-0.037,-0.06,-0.043,-0.03,-0.091,-0.026,0.06,0.042,0.099,0.038,0.922,0.958,0.847,1.0,-0.131,0.488,0.531,-0.02,-0.004,-0.003,-0.008,-0.066,-0.076,-0.082,-0.072,0.024,0.042
mfi,-0.046,-0.037,-0.072,-0.136,-0.051,-0.053,-0.057,0.15,0.105,-0.005,0.032,0.031,0.055,-0.025,-0.017,0.004,-0.036,-0.108,-0.144,-0.151,-0.131,1.0,-0.061,-0.162,0.153,0.147,0.004,0.196,0.168,0.169,0.032,0.216,0.014,-0.052
obv,0.537,0.569,0.56,0.532,0.569,0.038,0.035,0.033,0.023,0.016,0.03,0.002,0.057,-0.034,-0.075,-0.091,-0.088,0.462,0.505,0.513,0.488,-0.061,1.0,0.846,0.108,0.153,0.206,0.14,0.035,0.059,0.108,0.051,0.014,0.022
obv_ema,0.412,0.429,0.532,0.601,0.48,0.044,0.022,-0.279,-0.257,-0.087,-0.141,-0.183,-0.117,-0.025,-0.115,-0.112,-0.095,0.466,0.585,0.649,0.531,-0.162,0.846,1.0,-0.101,-0.08,0.016,-0.102,-0.165,-0.176,-0.098,-0.185,0.016,0.064
trading_amount,0.35,0.363,0.218,0.114,0.279,-0.036,0.08,0.247,0.209,0.029,0.027,0.058,-0.028,-0.064,-0.119,-0.106,-0.073,0.001,-0.063,-0.137,-0.02,0.153,0.108,-0.101,1.0,0.582,0.441,0.714,0.988,0.593,0.462,0.714,0.023,-0.016
trading_amount_mv10,0.443,0.459,0.435,0.286,0.469,-0.079,-0.008,0.184,0.085,-0.015,-0.016,0.056,-0.039,-0.101,-0.189,-0.236,-0.156,0.006,-0.034,-0.129,-0.004,0.147,0.153,-0.08,0.582,1.0,0.844,0.869,0.568,0.983,0.853,0.85,-0.002,0.004
trading_amount_mv20,0.456,0.474,0.509,0.438,0.503,0.002,0.006,0.022,-0.041,-0.041,-0.067,-0.003,-0.072,-0.092,-0.207,-0.288,-0.153,-0.012,-0.008,-0.064,-0.003,0.004,0.206,0.016,0.441,0.844,1.0,0.674,0.422,0.814,0.98,0.648,0.002,-0.016
trading_amount_mv5,0.42,0.44,0.34,0.197,0.42,-0.086,0.058,0.269,0.176,-0.037,-0.002,0.066,-0.035,-0.099,-0.148,-0.176,-0.127,0.014,-0.051,-0.148,-0.008,0.196,0.14,-0.102,0.714,0.869,0.674,1.0,0.701,0.868,0.693,0.985,-0.002,-0.009
volume,0.269,0.279,0.146,0.05,0.201,-0.035,0.072,0.235,0.197,0.028,0.04,0.07,-0.024,-0.084,-0.146,-0.126,-0.1,-0.045,-0.113,-0.191,-0.066,0.168,0.035,-0.165,0.988,0.568,0.422,0.701,1.0,0.597,0.461,0.721,0.024,-0.024
volume_mv10,0.343,0.355,0.321,0.181,0.357,-0.08,-0.008,0.193,0.102,-0.0,0.008,0.081,-0.018,-0.112,-0.221,-0.265,-0.174,-0.058,-0.113,-0.213,-0.076,0.169,0.059,-0.176,0.593,0.983,0.814,0.868,0.597,1.0,0.855,0.877,-0.004,-0.008
volume_mv20,0.353,0.367,0.386,0.31,0.388,-0.006,0.0,0.063,-0.0,-0.02,-0.023,0.04,-0.037,-0.104,-0.237,-0.324,-0.173,-0.079,-0.098,-0.166,-0.082,0.032,0.108,-0.098,0.462,0.853,0.98,0.693,0.461,0.855,1.0,0.693,-0.001,-0.024
volume_mv5,0.324,0.34,0.243,0.11,0.316,-0.084,0.054,0.261,0.175,-0.026,0.015,0.084,-0.024,-0.109,-0.182,-0.201,-0.151,-0.044,-0.118,-0.22,-0.072,0.216,0.051,-0.185,0.714,0.85,0.648,0.985,0.721,0.877,0.693,1.0,-0.004,-0.025
weekday,-0.006,-0.001,0.009,0.011,0.007,0.0,-0.005,-0.011,-0.021,0.014,-0.004,-0.004,0.001,0.004,-0.0,-0.003,-0.008,0.0,0.027,0.025,0.024,0.014,0.014,0.016,0.023,-0.002,0.002,-0.002,0.024,-0.004,-0.001,-0.004,1.0,0.01
weeknum,-0.028,-0.027,0.004,0.032,-0.003,-0.073,0.149,-0.094,-0.087,-0.023,0.005,-0.041,-0.005,0.044,0.013,-0.05,0.059,-0.043,0.093,0.101,0.042,-0.052,0.022,0.064,-0.016,0.004,-0.016,-0.009,-0.024,-0.008,-0.024,-0.025,0.01,1.0
